,source_name,url,title,date,words_count,words_converted,ratio,topic,author,gender_author,headline,counter_list,pers_pron_fem,pers_pron_masc,deter_pron_fem,deter_pron_masc,noun_fem,noun_masc,adj_conn_fem,adj_conn_masc,title_fem,title_masc,rt_pers_pron_fem,rt_pers_pron_masc,rt_deter_pron_fem,rt_deter_pron_masc,rt_noun_fem,rt_noun_masc,rt_adj_conn_fem,rt_adj_conn_masc,rt_title_fem,rt_title_masc,sum_rt_noun,sum_rt_adj,sum_rt_title,sum_rt_global_bias,max_rt,max_rt_cat,min_rt,min_rt,source_ml,topic_ml,sex_ml,fem_noun_arr,Male_noun_arr,adj_fem_arr,adj_masc_arr,title_fem_arr,title_masc_arr
27,bbc news,https://www.bbc.com/news/world-latin-america-55475036,"""Argentina abortion: Senate approves legalisation in historic decision""",2020-12-30,697,19,2.726,world,bbc / Katy Watson,female,"""Argentina's Congress has legalised abortions up to the 14th week of pregnancy, a ground-breaking move for a region that has some of the world's most restrictive termination laws.""","""{' women ': 3, ' she ': 3, 'mother': 2, "" women'"": 2, ' he ': 2, 'feminist ': 1, ' his ': 1, ' women""': 1, ' woman ': 1, 'Emotional': 1, ' women,': 1, 'Women': 1}""",3,2,0,1,11,0,2,0,0,0,16,11,0,5,58,0,11,0,0,0,58,11,0,11,58,fem noun,5,deter masc,3,11,1,"""""""Female nouns = [' women ', 'mother', 'Women', ' woman ', ' women,', ' women""', "" women'""]""""""",NaN,"""""""Adjectives with femenine connotation = ['Emotional', 'feminist ']""""""",NaN,NaN,NaN
28,cnn,https://edition.cnn.com/2020/12/30/americas/argentina-abortion-senate-vote-intl/index.html,"""Argentina's Senate approves historic bill to legalize abortion""",2020-12-30,1380,33,2.391,world,Diego Laje,male,None,"""{' she ': 4, ' women ': 3, ' women.': 3, "" women'"": 2, ' women,': 2, ' girls': 2, ' he ': 2, ' sisters ': 1, 'emotional': 1, 'She ': 1, ' woman.': 1, "" woman'"": 1, ' her ': 1, 'congresswomen': 1, ' his ': 1, ' woman,': 1, ' men ': 1, 'Pope ': 1, 'congresswoman': 1, ' man ': 1, ' Bishop': 1, ' bishop': 1}""",5,2,1,1,18,5,1,0,0,0,15,6,3,3,55,15,3,0,0,0,70,3,0,12,55,fem noun,3,deter fem,4,11,0,"""""""Female nouns = [' women.', ' women ', ' women,', "" women'"", 'congresswoman', 'congresswomen', ' sisters ', ' girls', ' woman.', "" woman'"", ' woman.']""""""","""""""Male nouns = [' men ', ' man ', ' Bishop', ' bishop', 'Pope ']""""""","""""""Adjectives with femenine connotation = ['emotional']""""""",NaN,NaN,NaN
29,cnn,https://edition.cnn.com/2020/12/30/sport/nba-milwaukee-bucks-three-point-record-miami-heat-spt-intl/index.html,"""Milwaukee Bucks set 3-point record in blowout against Miami Heat""",2020-12-30,452,4,0.885,sports,Calum Trenaman,male,None,"""{' his ': 2, '-man': 1, ' he ': 1}""",0,1,0,2,0,1,0,0,0,0,0,25,0,50,0,25,0,0,0,0,25,0,0,4,50,deter masc,25,per pron masc,4,8,0,NaN,"""""""Male nouns = ['-man']""""""",NaN,NaN,NaN,NaN
30,the irish times,https://www.irishtimes.com/sport/soccer/english-soccer/michael-walker-missing-fans-meant-even-momentous-victories-were-draped-in-loss-1.4443042,"""Michael Walker: Missing fans meant even momentous victories were draped in loss""",2020-12-25,1588,42,2.645,sports,Michael Walker,male,"""Dreadful year also marked by the passing of many football greats""","""{' he ': 9, ' his ': 8, 'He ': 5, ' he was': 4, 'himself': 2, 'His ': 2, ' men ': 2, ' he is': 2, ' man ': 2, ' him.': 1, ' woman ': 1, 'His was': 1, 'male ': 1, 'female ': 1, 'She/he': 1}""",0,21,0,14,1,4,1,1,0,0,0,50,0,33,2,10,2,2,0,0,12,5,0,3,50,per pron masc,2,fem noun,8,8,0,"""""""Female nouns = [' woman ']""""""","""""""Male nouns = [' men ', ' man ']""""""","""""""Adjectives with femenine connotation = ['female ']""""""","""""""Adjectives with masculine connotation = ['male ']""""""",NaN,NaN
31,science,https://www.sciencemag.org/careers/2020/10/three-trouble-spots-facing-women-science-and-how-we-can-tackle-them,"""Three trouble spots facing women in science—and how we can tackle them""",2020-10-16,1169,55,4.705,social science,Leah H. Somerville/June Gruber,female,None,"""{' women ': 18, 'Women': 5, 'female ': 5, ' women.': 5, ' her ': 4, 'male ': 4, 'than men': 3, ' she ': 2, ' men ': 2, ' women,': 1, ' men.': 1, 'mother': 1, ' she was ': 1, 'Men ': 1, 'Female ': 1, ' women’': 1}""",3,0,4,0,31,7,6,4,0,0,5,0,7,0,56,13,11,7,0,0,69,18,0,15,56,fem noun,5,pers pron fem,10,12,1,"""""""Female nouns = [' women.', ' women ', 'mother', 'Women', ' women,', ' women’']""""""","""""""Male nouns = [' men ', 'Men ', 'than men', ' men.']""""""","""""""Adjectives with femenine connotation = ['female ', 'Female ']""""""","""""""Adjectives with masculine connotation = ['male ']""""""",NaN,NaN
32,the new york times,https://www.nytimes.com/2020/12/29/world/americas/argentina-abortion.html,"""Legal Abortion, Once a Long Shot in Catholic Argentina, Now Within Reach""",2020-12-29,750,18,2.400,world,Daniel Politi,male,"""A bill before the Senate would make abortion legal in the predominantly Catholic nation, the homeland of Pope Francis. Its approval likely would have significant effect across Latin America.""","""{'Mr': 3, 'Pope ': 2, ' women ': 2, ' his ': 2, ' he was': 2, ' women,': 1, 'mother': 1, 'Ms': 1, 'feminist ': 1, ' her ': 1, ' women’': 1, 'the Rev. ': 1}""",0,2,1,2,5,3,1,0,1,3,0,11,6,11,28,17,6,0,6,17,44,6,22,12,28,fem noun,6,deter fem,9,11,0,"""""""Female nouns = [' women ', 'mother', ' women,', ' women’']""""""","""""""Male nouns = ['Pope ', 'the Rev. ']""""""","""""""Adjectives with femenine connotation = ['feminist ']""""""",NaN,"""""""Female titles = ['Ms']""""""","""""""Male titles = ['Mr']"""""""
33,cnbc,https://www.cnbc.com/2020/12/29/even-after-pandemic-companies-may-have-to-cater-to-a-nation-of-aspiring-chefs-foodies.html,"""The pandemic’s new chefs and foodies: How the health crisis shaped what we cook and crave""",2020-12-29,1402,24,1.712,food and drinks,Melissa Repko,female,"""Americans have made more meals at home, expanded their palates with new flavors and gravitated toward premium items as an indulgence or healthier option during the coronavirus pandemic. Even with the Covid-19 vaccine’s rollout, the global health crisis will likely influence how people grocery shop, cook and eat for years to come. Consumers’ changing habits have shaped retailers and consumer packaged goods companies’ approach, too, such as inspiring PepsiCo to launch globally inspired potato chip flavors and a drink to aid sleep.""","""{' he ': 10, 'He ': 5, ' his ': 5, 'wife': 2, 'he’s': 1, 'spokeswoman': 1}""",0,16,0,5,3,0,0,0,0,0,0,67,0,21,13,0,0,0,0,0,13,0,0,2,67,per pron masc,13,fem noun,11,3,1,"""""""Female nouns = ['spokeswoman', 'wife']""""""",NaN,NaN,NaN,NaN,NaN
34,npr,https://www.npr.org/2020/12/29/948866982/a-quiet-and-unsettling-pandemic-toll-students-whove-fallen-off-the-grid?t=1609619861079,"""A Quiet And 'Unsettling' Pandemic Toll: Students Who've Fallen Off The Grid""",2020-12-29,970,24,2.474,local news,Lauren Hodges,female,None,"""{' she ': 8, ' he ': 7, ' her ': 3, ' his ': 2, ""He's"": 1, 'from her': 1, ""she's"": 1, ' he has': 1}""",9,9,4,2,0,0,0,0,0,0,38,38,17,8,0,0,0,0,0,0,0,0,0,0,38,pers pron fem,8,deter masc,12,5,1,NaN,NaN,NaN,NaN,NaN,NaN
35,npr,https://www.npr.org/2020/12/26/948993865/promising-young-woman-is-a-dark-comedy-that-will-keep-you-on-your-toes,"""'Promising Young Woman' Is A Dark Comedy That Will Keep You On Your Toes""",2020-12-26,820,64,7.805,culture,Linda Holmes,female,None,"""{' her ': 9, ' guy': 7, ' she ': 6, ""she's"": 5, ' men ': 4, ' she is ': 3, 'She ': 2, ' men.': 2, 'Woman': 2, "" she isn't"": 1, 'takes her home': 1, ' him.': 1, ' he ': 1, 'He does': 1, ' she is.': 1, ""he's"": 1, 'good-guy': 1, 'bad-guy': 1, 'Girl': 1, ' actor': 1, 'girlfriend': 1, 'dad ': 1, ' he was': 1, 'from her': 1, ' men,': 1, ' woman ': 1, '-actor': 1, 'She is ': 1, 'Her ': 1, 'femininity': 1, 'mother': 1, 'wife': 1, ' she is?': 1}""",21,4,13,1,5,19,1,0,0,0,33,6,20,2,8,30,2,0,0,0,38,2,0,7,33,pers pron fem,2,deter masc,12,2,1,"""""""Female nouns = ['wife', 'mother', ' woman ', 'Woman']""""""","""""""Male nouns = [' men ', ' men,', ' actor', ' guy', ' men.', 'good-guy', 'bad-guy', 'dad ', '-actor']""""""","""""""Adjectives with femenine connotation = ['femininity']""""""",NaN,NaN,NaN
36,bbc news,https://www.bbc.com/culture/article/20200911-why-do-women-write-under-mens-names,"""Why do women write under men’s names?""",2020-09-14,2383,123,5.162,culture,Holly Williams,female,"""From George Eliot and the Brontës to JK Rowling, women writers have often chosen to publish their work using a pseudonym. It’s time to smash the myths about why they do it.""","""{' her ': 24, ' women ': 14, ' she ': 12, 'female ': 8, 'male ': 6, 'Her ': 5, ' men ': 5, ' woman ': 4, ' lady': 4, ' she was ': 4, 'Women': 3, ' women’': 3, 'masculine ': 2, ' men,': 2, ' women.': 2, 'Female ': 2, ' man ': 2, ' woman.': 2, 'girlhood': 2, 'aunt': 2, 'niece': 2, 'HerName': 1, 'feminist ': 1, 'feminism': 1, ' boy ': 1, 'feminine ': 1, 'She ': 1, ' women,': 1, ' woman”': 1, ' woman,': 1, ' her.': 1, '‘masculine’ ': 1, 'masculine, ': 1, ' he ': 1}""",17,1,31,0,42,10,12,10,0,0,14,1,25,0,34,8,10,8,0,0,42,18,0,10,34,fem noun,1,per pron masc,3,2,1,"""""""Female nouns = [' women.', ' women ', 'Women', ' woman ', ' women,', ' women’', 'aunt', ' woman.', ' woman.', 'feminism', ' lady', 'niece', 'girlhood']""""""","""""""Male nouns = [' men ', ' man ', ' men,', ' boy ']""""""","""""""Adjectives with femenine connotation = ['female ', 'feminist ', 'Female ', 'feminine ']""""""","""""""Adjectives with masculine connotation = ['male ', '‘masculine’ ', 'masculine, ', 'masculine ']""""""",NaN,NaN
