,source_name,url,title,date,words_count,words_converted,ratio,topic,author,gender_author,headline,counter_list,pers_pron_fem,pers_pron_masc,deter_pron_fem,deter_pron_masc,noun_fem,noun_masc,adj_conn_fem,adj_conn_masc,title_fem,title_masc,rt_pers_pron_fem,rt_pers_pron_masc,rt_deter_pron_fem,rt_deter_pron_masc,rt_noun_fem,rt_noun_masc,rt_adj_conn_fem,rt_adj_conn_masc,rt_title_fem,rt_title_masc,sum_rt_noun,sum_rt_adj,sum_rt_title,sum_rt_global_bias,max_rt,max_rt_cat,min_rt,min_rt,source_ml,topic_ml,sex_ml,fem_noun_arr,Male_noun_arr,adj_fem_arr,adj_masc_arr,title_fem_arr,title_masc_arr
80,the irish times,https://www.irishtimes.com/news/politics/td-calls-for-serious-scrutiny-of-leave-eu-group-that-relocated-to-waterford-1.4459620,"""TD calls for ‘serious scrutiny’ of Leave.EU group that relocated to Waterford""",2021-01-15,476,12,2.521,politics,Marie O'Halloran,female,"""Neale Richmond issues warning on ‘toxic’ Brexit campaign organisation""","""{'He ': 4, 'Mr': 4, ' his ': 1, 'businessman': 1, 'spokesman': 1, ' he was': 1}""",0,5,0,1,0,2,0,0,0,4,0,42,0,8,0,17,0,0,0,33,17,0,33,8,42,per pron masc,8,deter masc,8,7,1,NaN,"""""""Male nouns = ['spokesman', 'businessman']""""""",NaN,NaN,NaN,"""""""Male titles = ['Mr']"""""""
81,the irish times,https://www.irishtimes.com/culture/books/unsettled-a-galway-australian-frontier-novel-1.4457179,"""Unsettled, a Galway-Australian frontier novel""",2021-01-16,788,16,2.030,culture,Gay Lynch,female,"""Gay Lynch on her emigrant novel that spans Ireland and South Australia""","""{' her ': 3, 'husband': 2, 'brother ': 2, ' him,': 1, 'He ': 1, ' he ': 1, ' his ': 1, ' women.': 1, 'priest ': 1, ' she ': 1, ' actor': 1, 'Girl': 1}""",2,2,3,2,1,6,0,0,0,0,13,13,19,13,6,38,0,0,0,0,44,0,0,7,38,masc noun,6,fem noun,8,2,1,"""""""Female nouns = [' women.']""""""","""""""Male nouns = ['husband', ' actor', 'priest ', 'brother ']""""""",NaN,NaN,NaN,NaN
82,the irish times,https://www.irishtimes.com/opinion/jennifer-o-connell-forget-the-voice-of-reason-ivanka-has-only-been-the-voice-of-ivanka-1.4453267,"""Forget the voice of reason, Ivanka has only been the voice of Ivanka""",2021-01-09,938,57,6.077,people,Jennifer O'Connell,female,"""After four years, a medium-sized insurrection must seem like a small price to pay""","""{' her ': 13, ' she ': 7, ' his ': 6, ' he ': 4, ' woman ': 3, ' she was ': 3, 'father': 3, ' he was': 2, 'herself': 2, 'She ': 2, ' her.': 2, ' man ': 1, 'himself': 1, ' him ': 1, 'female ': 1,  'daughter': 1, 'princess': 1, 'brothers.': 1, 'brother,': 1, ' hers.': 1, 'she’ll': 1}""",13,6,18,8,5,6,1,0,0,0,23,11,32,14,9,11,2,0,0,0,19,2,0,4,32,deter fem,2,adj fem,8,6,1,"""""""Female nouns = ['daughter', ' woman ', 'princess']""""""","""""""Male nouns = ['father', ' man ', 'brother,', 'brothers.']""""""","""""""Adjectives with femenine connotation = ['female ']""""""",NaN,NaN,NaN
83,the irish times,https://www.irishtimes.com/business/financial-services/aib-plans-ethical-sale-of-up-to-650-distressed-mortgages-1.4459601,"""AIB plans ‘ethical’ sale of up to 650 distressed mortgages""",2021-01-16,460,4,0.870,business,Eoin Burke-Kennedy,male,"""Bidders for portfolio of owner-occupier loans will work to keep borrowers in homes""","""{'Mr': 1, ' his ': 1, ' he ': 1, 'He ': 1}""",0,2,0,1,0,0,0,0,0,1,0,50,0,25,0,0,0,0,0,25,0,0,25,4,50,per pron masc,25,deter masc,8,1,0,NaN,NaN,NaN,NaN,NaN,"""""""Male titles = ['Mr']"""""""
84,the irish times,https://www.irishtimes.com/business/technology/facebook-s-three-cup-trick-with-whatsapp-data-move-1.4457457,"""Facebook’s three-cup trick with WhatsApp data move""",2021-01-14,839,0,0.000,technology,Karlin Lillington,female,"""Regulators should block integration of Facebook’s three platforms pending decision on antitrust action""",0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,8,9,1,0,0,0,0,0,0
85,the irish times,https://www.irishtimes.com/business/technology/vodafone-goes-up-against-rivals-with-new-clear-mobile-offering-1.4457504,"""Vodafone goes up against rivals with new Clear Mobile offering""",2021-01-14,341,2,0.587,technology,Charlie Taylor,male,"""New Sim-only service is being sold as a simple proposition with no long-term contracts""","""{'spokesman': 1, ' he ': 1}""",0,1,0,0,0,1,0,0,0,0,0,50,0,0,0,50,0,0,0,0,50,0,0,8,50,per pron masc,50,per pron masc,8,9,0,NaN,"""""""Male nouns = ['spokesman']""""""",NaN,NaN,NaN,NaN
86,the new york times,https://www.nytimes.com/2021/01/12/travel/washington-travel-inauguration-security.html?action=click&module=Well&pgtype=Homepage&section=Travel,"""At Washington Airports and Hotels: Anxiety and Tightened Security""",2021-01-12,1433,26,1.814,travel,Tariro Mzezewa,female,"""Following the Jan. 6 riot in the U.S. capital, the travel industry is taking precautions to keep workers and others safe.""","""{'spokeswoman': 4, 'spokesman': 4, ' he ': 3, 'Mr': 3, 'Ms': 2, 'Boy': 2, ' his ': 2, ' him ': 2, 'His ': 1, ' she ': 1, 'He ': 1, ' he was': 1, 'congressman': 1}""",1,5,0,4,4,7,0,0,2,3,4,19,0,15,15,27,0,0,8,12,42,0,19,10,27,masc noun,4,pers pron fem,9,10,1,"""""""Female nouns = ['spokeswoman']""""""","""""""Male nouns = ['spokesman', 'Boy', 'congressman']""""""",NaN,NaN,"""""""Female titles = ['Ms']""""""","""""""Male titles = ['Mr']"""""""
87,the new york times,https://www.nytimes.com/2021/01/13/world/asia/china-who-wuhan-covid.html,"""Two Members of W.H.O. Team on Trail of Virus Are Denied Entry to China""",2021-01-13,1279,4,0.313,health,Javier C. Hernández,male,"""Beijing has repeatedly impeded the global inquiry into the emergence of the coronavirus. Two scientists on the team remained in Singapore after testing positive for antibodies.""","""{' he was': 1, 'spokesman': 1, ' she ': 1, 'Mr': 1}""",1,1,0,0,0,1,0,0,0,1,25,25,0,0,0,25,0,0,0,25,25,0,25,8,25,pers pron fem,25,pers pron fem,9,4,0,NaN,"""""""Male nouns = ['spokesman']""""""",NaN,NaN,NaN,"""""""Male titles = ['Mr']"""""""
88,the new york times,https://www.nytimes.com/2021/01/12/health/coronavirus-masks-transmission.html,"""One Mask Is Good. Would Two Be Better?""",2021-01-12,1062,4,0.377,health,Katherine J. Wu,female,"""Health experts double down on their advice for slowing the spread of the coronavirus.""","""{' she ': 2, ' his ': 1, ' he ': 1}""",2,1,0,1,0,0,0,0,0,0,50,25,0,25,0,0,0,0,0,0,0,0,0,0,50,pers pron fem,25,per pron masc,9,4,1,NaN,NaN,NaN,NaN,NaN,NaN
89,the new york times,https://www.nytimes.com/2021/01/15/science/hypersonic-missile-weapons.html,"""Hypersonic Superweapons Are a Mirage, New Analysis Says""",2021-01-15,1108,13,1.173,technology,William J. Broad,male,"""""""Two scientists find revolutionary claims about the evasion of detection and defenses to be “nonsense.”""""""","""{' he ': 7, ' his ': 3, 'spokesman': 2, 'He ': 1}""",0,8,0,3,0,2,0,0,0,0,0,62,0,23,0,15,0,0,0,0,15,0,0,3,62,per pron masc,15,masc noun,9,9,0,NaN,"""""""Male nouns = ['spokesman']""""""",NaN,NaN,NaN,NaN
90,cnbc,https://www.cnbc.com/2020/12/07/ultra-luxury-home-rentals-like-airbnb-but-for-rich-people.html,"""‘Ultra luxury’ home rentals: Like Airbnb, but for rich people""",2020-12-07,931,9,0.967,travel,Monica Buchanan Pitrelli,female,None,"""{' he ': 3, 'Chairman': 1, ' maid ': 1, 'butler': 1, 'husband': 1, 'wife': 1, ' she ': 1}""",1,3,0,0,2,3,0,0,0,0,11,33,0,0,22,33,0,0,0,0,56,0,0,9,33,per pron masc,11,pers pron fem,11,10,1,"""""""Female nouns = ['wife', ' maid ']""""""","""""""Male nouns = ['husband', 'Chairman', 'butler']""""""",NaN,NaN,NaN,NaN
91,cnbc,https://www.cnbc.com/2020/04/24/best-books-to-read-during-coronavirus-pandemic-quarantine-harvard-yale-professors.html,"""5 best books to read during Covid-19—Harvard and Yale professors and staff share recommendations""",2020-04-24,728,22,3.022,culture,Tom Popomaronis,male,None,"""{' her ': 5, ' she ': 3, ' men ': 2, ' women ': 2, ' he has': 1, 'he’s read': 1, ' his ': 1, ' he ': 1, ' woman ': 1, 'she’s': 1, ' women’': 1, 'She ': 1, ' women.': 1, ' women,': 1}""",5,3,5,1,6,2,0,0,0,0,23,14,23,5,27,9,0,0,0,0,36,0,0,6,27,fem noun,5,deter masc,11,2,0,"""""""Female nouns = [' women.', ' women ', ' woman ', ' women,', ' women’']""""""","""""""Male nouns = [' men ']""""""",NaN,NaN,NaN,NaN
92,cnbc,https://www.cnbc.com/2021/01/15/awkwafina-still-lives-with-an-all-i-need-is-500-month-mindset.html,"""Why Awkwafina says she still lives with an ‘All I need is $500 a month’ mindset""",2021-01-15,604,44,7.285,people,Jennifer Liu,female,None,"""{' her ': 17, ' she ': 12, 'She ': 3, ' she was ': 2, 'She’s': 2, '(she ': 1, 'she’d': 1, 'mother': 1, 'Queens, New York': 1, 'grandma ': 1, 'she’s': 1, 'herself': 1, 'actress': 1, 'Her ': 1}""",22,0,19,0,3,0,0,0,0,0,50,0,43,0,7,0,0,0,0,0,7,0,0,1,50,pers pron fem,7,fem noun,11,6,1,"""""""Female nouns = ['mother', 'actress', 'grandma ']""""""",NaN,NaN,NaN,NaN,NaN
93,cnbc,https://www.cnbc.com/2021/01/13/biggest-mistake-young-people-make-when-following-their-passion-career-expert-20-years.html,"""This is the No. 1 mistake young people make when ‘following their passion,’ says career expert of 20 years""",2021-01-13,385,1,0.260,social science,J.T. O'Donnell,female,None,"""{' her ': 1}""",0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,deter fem,0,0,11,12,1,NaN,NaN,NaN,NaN,NaN,NaN
94,cnbc,https://www.cnbc.com/2021/01/07/corona-plans-second-hard-seltzer-launch-this-year-parent-ceo-says.html,"""Corona plans second hard seltzer launch this year, Constellation Brands CEO says""",2021-01-07,397,2,0.504,food and drinks,Tyler Clifford,male,"""""""Corona is planning to launch a new variety pack of hard seltzers in the early fiscal year 2022, Constellation Brands CEO told CNBC.“It’s a category that’s growing, and we’re going to take a significant share of it,” he said in a “Mad Money” interview. Newlands said the company sold 10 million cases of its current seltzer variety pack, which launched in spring 2020.""""""","""{' he ': 2}""",0,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,per pron masc,0,0,11,3,0,NaN,NaN,NaN,NaN,NaN,NaN
95,cnbc,https://www.cnbc.com/2021/01/08/jeff-bezos-8-hours-of-sleep-why-he-thinks-just-getting-4-hours-isnt-worth-it.html,"""The math behind Jeff Bezos’ 8 hours of sleep—and why he says going ‘crazy’ with 4 hours isn’t worth it""",2021-01-08,442,14,3.167,people,Tom Popomaronis,male,None,"""{' he ': 7, ' his ': 3, 'he’s': 2, 'He ': 1, ' he was': 1}""",0,11,0,3,0,0,0,0,0,0,0,79,0,21,0,0,0,0,0,0,0,0,0,0,79,per pron masc,21,deter masc,11,6,0,NaN,NaN,NaN,NaN,NaN,NaN
96,cnbc,https://www.cnbc.com/2021/01/15/stocks-making-the-biggest-moves-midday-poshmark-jpmorgan-wells-fargo-zoom-spotify-more.html,"""Stocks making the biggest moves midday: Poshmark, JPMorgan, Wells Fargo, Zoom, Spotify & more""",2021-01-15,474,1,0.211,business,Pippa Stevens,female,None,"""{' his ': 1}""",1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,pers pron fem,0,0,11,1,1,NaN,NaN,NaN,NaN,NaN,NaN
97,cnbc,https://www.cnbc.com/2021/01/15/jamie-dimon-says-jpmorgan-chase-should-absolutely-be-scared-s-less-about-fintech-threat.html,"""Jamie Dimon says JPMorgan Chase should absolutely be ‘scared s---less’ about fintech threat""",2021-01-15,403,10,2.481,business,Hugh Son,male,"""""""Jamie Dimon’s message to the management team of $3.4 trillion banking goliath JPMorgan Chase: Be frightened of fintech rivals.“Absolutely we should be scared s---less about that,” Dimon told analysts. Dimon said he sent his deputies a list of global competitors, and that PayPal, Square, Stripe, Ant Financial as well as Amazon, Apple and Google were names the bank needs to keep an eye on.""""""","""{' he ': 3, ' his ': 2, 'He ': 2, 'His ': 1, 'spokeswoman': 1, 'She ': 1}""",1,5,0,3,1,0,0,0,0,0,10,50,0,30,10,0,0,0,0,0,10,0,0,2,50,per pron masc,10,pers pron fem,11,1,0,"""""""Female nouns = ['spokeswoman']""""""",NaN,NaN,NaN,NaN,NaN
98,cnbc,https://www.cnbc.com/2020/03/19/coronavirus-pass-the-time-in-self-isolation-with-virtual-museum-tours.html?&qsearchterm=cultures,"""Need a culture fix while self-isolating? You can tour these museums from your couch""",2021-03-20,525,5,0.952,culture,Vicky McKeever,female,None,"""{' king ': 1, 'himself': 1, 'ladies': 1, 'Son.': 1, ' his ': 1}""",0,0,0,2,1,2,0,0,0,0,0,0,0,40,20,40,0,0,0,0,60,0,0,10,40,deter masc,20,fem noun,11,2,1,"""""""Female nouns = ['ladies']""""""","""""""Male nouns = [' king ', 'Son.']""""""",NaN,NaN,NaN,NaN
99,cnbc,https://www.cnbc.com/2020/01/14/deepak-chopra-how-great-leaders-create-successful-teams.html,"""3 things great leaders do to set their teams up for success""",2020-01-14,453,0,0.000,social science,Deepak Chopra,male,None,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,11,12,0,0,0,0,0,0,0
100,cnbc,https://www.cnbc.com/2021/01/15/israel-is-launching-covid-immunity-passports-for-vaccinated-citizens.html,"""Israel is launching Covid immunity passports. Here’s what they allow you to do """,2021-01-15,509,0,0.000,health,Natascha Turak,female,"""Less than a month after receiving its first shipments of the Pfizer-BioNTech jab, Israel has vaccinated around 20% of its population. Essentially an immunity passport announced by the Ministry of Health earlier this week, the “green booklet” would be given to people who’ve received two doses of the vaccine.""",0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,11,4,1,0,0,0,0,0,0
101,cnbc,https://www.cnbc.com/2021/01/14/climate-change-biden-could-up-pressure-on-chinas-belt-and-road-initiative.html,"""Biden’s focus on climate change could turn up the pressure on China’s mega infrastructure program""",2021-01-14,1115,11,0.987,politics,Yen Nee Lee,female,"""China’s massive Belt and Road Initiative has been criticized for financing and building infrastructure projects that harm the environment. Beijing has said it would focus more on cleaner projects under the Belt and Road Initiative — but it has little concrete results to show so far, said analysts. U.S. President-elect Joe Biden’s focus on fighting climate change could make it harder for China to “greenwash” its mega program, said Jonathan Hillman, a senior fellow at American think tank Center for Strategic and International Studies.""","""{' she ': 4, ' his ': 2, ' he ': 2, 'He ': 1, 'Mr': 1, 'His ': 1}""",4,3,0,3,0,0,0,0,0,1,36,27,0,27,0,0,0,0,0,9,0,0,9,2,36,pers pron fem,9,title masc,11,7,1,NaN,NaN,NaN,NaN,NaN,"""""""Male titles = ['Mr']"""""""
102,cnbc,https://www.cnbc.com/2021/01/20/connecticut-man-arrested-for-crushin.html,"""Patrick McCaughey arrested for assaulting cop, crushing him in doorway during Trump-fueled Capitol riot""",2021-01-20,597,16,2.680,local news,Dan Mangan,male,"""""""A Connecticut man has been arrested on charges that he assaulted a police officer, whom he pinned between two doors, during the Jan. 6 riot by Trump supporters at the U.S. Capitol. Patrick Edward McCaughey III repeatedly told Capitol Police Officer Daniel Hodges “just go home,” and “come on man, you are going to get squished,” as he pinned Hodges between a riot shield that McCaughey was holding and the doors. Hodges later told reporters: “It was absolutely my pleasure to crush a white nationalist insurrection, and we’ll do it as many times as it takes.”""""""","""{' he ': 5, ' his ': 3, 'man': 2, ' him,': 1, ' him.': 1, 'He was ': 1, 'father': 1, ' him ': 1}""",0,6,0,6,0,4,0,0,0,0,0,38,0,38,0,25,0,0,0,0,25,0,0,4,38,per pron masc,25,masc noun,11,5,0,NaN,"""""""Male nouns = ['father', 'man', 'son']""""""",NaN,NaN,NaN,NaN
103,al jazeera,https://www.aljazeera.com/economy/2021/1/21/lebanon-central-bank-chief-says-hell-comply-with-swiss-probe,"""Lebanon central bank chief says he’ll comply with Swiss probe""",2021-01-21,385,12,3.117,business,Timour Azhari,male,"""Riad Salameh, Lebanon’s embattled central bank chief, said he would face questioning in Switzerland as part of a Swiss money-laundering probe, a source tells Al Jazeera.""","""{'he': 3, 'his': 2, 'brother': 2, 'He': 2, 'he has': 1, 'him': 1, 'he is': 1}""",0,7,0,3,0,2,0,0,0,0,0,58,0,25,0,17,0,0,0,0,17,0,0,3,58,per pron masc,17,masc noun,2,1,0,NaN,"""""""Male nouns = ['brother']""""""",NaN,NaN,NaN,NaN
104,al jazeera,https://www.aljazeera.com/economy/2021/1/22/bb-climate-prize-elon-musk-to-give-100m-for-carbon-capture-tech,"""Green prize: Elon Musk to give $100m for carbon capture solution""",2021-01-22,388,13,3.351,business,Devon Pendleton,female,"""Extracting carbon dioxide from the air is seen as an increasingly viable way of reducing a key driver of climate change.""","""{'his': 6, 'he': 4, 'him': 1, 'He’s': 1, 'he’s': 1}""",0,6,0,7,0,0,0,0,0,0,0,46,0,54,0,0,0,0,0,0,0,0,0,0,54,deter masc,46,per pron masc,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN
105,al jazeera,https://www.aljazeera.com/economy/2021/1/20/bbfood-tech-investors-pile-into-vegan-focused-venture-capital-fu,"""Foodtech: Investors pile into vegan-focused venture capital fund""",2021-01-20,350,1,0.286,food and drinks,Agnieszka de Sousa,female,"""Blue Horizon Ventures, a Zurich-headquartered, vegan-based venture capital fund, will invest in startups from alternative proteins to smart packaging.""","""{'he': 1}""",0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,per pron masc,0,0,2,3,1,NaN,NaN,NaN,NaN,NaN,NaN
106,al jazeera,https://www.aljazeera.com/features/2020/12/4/avocados-elephants-is-the-green-gold-putting-wildlife-at-risk,"""Avocados v elephants: Is the green gold putting wildlife at risk?""",2020-12-04,875,3,0.343,food and drinks,Nick Clark,male,"""Demand for the fruit and a proposed new farm threaten to cut animals off from their habitat in Kenya’s Amboseli National Park.""","""{'He': 2, 'he': 1}""",0,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,per pron masc,0,0,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN
107,al jazeera,https://www.aljazeera.com/opinions/2021/1/22/after-another-museveni-victory-uganda-is-at-the-tipping-point,"""After another Museveni ‘victory’, Uganda is at a tipping point""",2021-01-22,1395,48,3.441,local news,Rosebell Kagumire,female,"""Despite his recent disputed election win, the tactics that kept the rebel-turned politician in power for decades may be starting to lose their efficiency.""","""{'his': 24, 'him': 7, 'he': 5, 'His': 3, 'himself': 3, 'he is': 2, 'strongman': 1, 'boy': 1, 'wife': 1, 'he does': 1}""",0,8,0,37,1,2,0,0,0,0,0,17,0,77,2,4,0,0,0,0,6,0,0,1,77,deter masc,2,fem noun,2,5,1,"""""""Female nouns = ['wife']""""""","""""""Male nouns = ['boy', 'strongman']""""""",NaN,NaN,NaN,NaN
108,al jazeera,https://www.aljazeera.com/news/2021/1/22/medically-vulnerable-refugees-in-australia-hotels-finally-freed,"""Medically vulnerable refugees in Australia hotels finally freed""",2021-01-22,1229,49,3.987,local news,Ali MC,male,"""Dozens of men held in hotels as part of Australia’s controversial offshore immigration policy have been freed.""","""{'he': 20, 'his': 9, 'men': 7, 'He': 5, 'he was': 3, 'women': 1, 'himself': 1, 'brothers': 1, 'sisters': 1, 'him': 1}""",0,28,0,11,2,8,0,0,0,0,0,57,0,22,4,16,0,0,0,0,20,0,0,3,57,per pron masc,4,fem noun,2,5,0,"""""""Female nouns = ['women', 'sisters']""""""","""""""Male nouns = ['men', 'brothers']""""""",NaN,NaN,NaN,NaN
109,al jazeera,https://www.aljazeera.com/opinions/2021/1/3/killing-julian-assange,"""Killing Julian Assange""",2021-01-03,844,8,0.948,people,Belen Fernandez,female,"""The extradition of the WikiLeaks founder to the US would be his death sentence.""","""{'his': 3, 'himself': 1, 'him': 1, 'She': 1, 'he is': 1, 'he': 1}""",1,2,0,5,0,0,0,0,0,0,13,25,0,63,0,0,0,0,0,0,0,0,0,0,63,deter masc,13,pers pron fem,2,6,1,NaN,NaN,NaN,NaN,NaN,NaN
110,al jazeera,https://www.aljazeera.com/news/2021/1/21/hold-bangsamoro-top-lawyer-a-trailblazer-for-women-in-mindanao,"""The 39-year-old woman breaking barriers in Mindanao""",2021-01-21,1483,60,4.046,people,Ted Regencia,male,"""Mindanao’s attorney general has to navigate a precarious path from conflict to peace in the Philippines’ autonomous Muslim region""","""{'her': 21, 'she': 11, 'She': 4, 'she was': 4, 'women': 3, 'father': 3, 'woman': 2, 'she is': 2, 'men': 2, 'herself': 1, 'Princess': 1, 'princess': 1, 'his': 1, 'female': 1, 'Brothers': 1, 'he': 1, 'she has': 1}""",22,1,22,1,7,6,1,0,0,0,37,2,37,2,12,10,2,0,0,0,22,2,0,4,37,pers pron fem,2,per pron masc,2,6,0,"""""""Female nouns = ['women', 'woman', 'princess', 'Princess']""""""","""""""Male nouns = ['men', 'father', 'Brothers']""""""","""""""Adjectives with femenine connotation = ['female']""""""",NaN,NaN,NaN
111,al jazeera,https://www.aljazeera.com/features/2021/1/22/us-back-in-climate-fight-under-biden-presidency,"""The US is back in the climate fight""",2021-01-22,400,1,0.250,politics,Nick Clark,male,"""The Trump presidency mocked and belittled science. Under Biden, there is a new sense of urgency about climate change unmatched by previous administrations.""","""{'his': 1}""",0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,deter masc,0,0,2,7,0,NaN,NaN,NaN,NaN,NaN,NaN
112,al jazeera,https://www.aljazeera.com/economy/2021/1/19/did-trump-finally-force-corporate-america-to-get-woke,"""The Trump business backlash: Corporate ‘woke-washing’ or new era?""",2021-01-19,1301,7,0.538,politics,Laurin-Whitney Gottbrath,female,"""Dozens of businesses took action against US President Donald Trump and some Republican lawmakers after the US Capitol siege. Does it herald a new era for corporate America?""","""{'she': 5, 'him': 1, 'he’s': 1}""",5,1,0,1,0,0,0,0,0,0,71,14,0,14,0,0,0,0,0,0,0,0,0,0,71,pers pron fem,14,per pron masc,2,7,1,NaN,NaN,NaN,NaN,NaN,NaN
113,al jazeera,https://www.aljazeera.com/news/2021/1/19/covid-should-sporting-events-be-part-of-lockdowns,"""Should sporting events be part of COVID lockdowns?""",2021-01-19,1126,5,0.444,sports,Faras Ghani,male,"""Rising infections, increasing death tolls, new variants and more lockdowns have put sporting events around the world under increased scrutiny.""","""{'Women': 2, 'men': 2, 'his': 1}""",0,0,0,1,2,2,0,0,0,0,0,0,0,20,40,40,0,0,0,0,80,0,0,13,40,fem noun,20,deter masc,2,8,0,"""""""Female nouns = ['Women']""""""","""""""Male nouns = ['men']""""""",NaN,NaN,NaN,NaN
114,abc news,https://abcnews.go.com/Business/wireStory/us-jobless-claims-decline-high-900000-75401384,"""US jobless claimes decline to a still-high 900,000""",2021-01-21,665,0,0.000,business,Christopher Rugaber ,male,"""The number of Americans seeking unemployment benefits fell slightly last week to 900,000, still a historically high level that points to ongoing job cuts in a raging pandemic""",0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,0,0,0,0,0,0,0
115,abc news,https://abcnews.go.com/Business/alibaba-stock-spikes-jack-ma-resurfaces/story?id=75401864,"""Alibaba stock spikes after Jack Ma resurfaces""",2021-01-21,269,6,2.230,business,Catherine Thorbecke,female,"""After making fiery remarks about Chinese regulations, Ma wasn't seen for months.""","""{'he': 2, 'his': 2, 'he was': 1, 'He': 1}""",0,4,0,2,0,0,0,0,0,0,0,67,0,33,0,0,0,0,0,0,0,0,0,0,67,per pron masc,33,deter masc,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
116,abc news,https://abcnews.go.com/Entertainment/wireStory/land-native-americans-question-inaugural-song-75417408,"""Native Americans celebrated as Joe Biden revoked a pipeline permit and halted border wall construction on his first day as president""",2021-01-22,577,9,1.560,culture,Felicia Fonseca,female,"""Native Americans celebrated as Joe Biden revoked a pipeline permit and halted border wall construction on his first day as president""","""{'she': 3, 'He': 1, 'he': 1, 'the Rev. ': 1, 'Lady': 1, ""She's"": 1, 'She': 1}""",5,2,0,0,0,1,0,0,1,0,56,22,0,0,0,11,0,0,11,0,11,0,11,4,56,pers pron fem,11,masc noun,1,2,1,NaN,"""""""Male nouns = ['the Rev. ']""""""",NaN,NaN,"""""""Female title = ['Lady']""""""",NaN
117,abc news,https://abcnews.go.com/Business/wireStory/lilly-drug-prevent-covid-19-illness-nursing-homes-75401731,"""Lilly: Drug can prevent COVID-19 illness in nursing homes""",2021-01-21,486,0,0.000,health,Tom Murphy,male,"""Drugmaker Eli Lilly says its COVID-19 antibody drug can prevent illness among residents and staff of nursing homes and other long-term care locations""",0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,4,0,0,0,0,0,0,0
118,abc news,https://abcnews.go.com/Health/wireStory/covid-19-mutations-dampen-vaccine-effectiveness-75388593,"""Some COVID-19 mutations may dampen vaccine effectiveness""",2021-01-21,922,8,0.868,health,Marilynn Marchione,female,"""Scientists are reporting troubling signs that some recent mutations of the coronavirus may modestly curb the effectiveness of two current vaccines""","""{'he': 7, 'his': 1}""",0,7,0,1,0,0,0,0,0,0,0,88,0,13,0,0,0,0,0,0,0,0,0,0,88,per pron masc,13,deter masc,1,4,1,NaN,NaN,NaN,NaN,NaN,NaN
119,abc news,https://abcnews.go.com/US/wireStory/tennessee-state-senator-charged-federal-court-75355377,"""Tennessee state senator charged again in federal court""",2021-01-20,337,8,2.374,local news,Adrian Sainz,male,"""A Tennessee state senator who was already facing allegations of stealing more than $600,000 from a health care school has been charged in a new case""","""{'her': 3, 'she': 2, 'daughter': 1, 'Ms': 1, 'she was': 1}""",3,0,3,0,1,0,0,0,1,0,38,0,38,0,13,0,0,0,13,0,13,0,13,4,38,pers pron fem,13,fem noun,1,5,0,"""""""Female nouns = ['daughter']""""""",NaN,NaN,NaN,NaN,NaN
120,abc news,https://abcnews.go.com/US/portland-police-arrest-rioters-damage-democratic-party-office/story?id=75398433,"""Portland police arrest 8 after rioters damage Democratic Party office, ICE facility following Biden's inauguration""",2021-01-21,367,0,0.000,local news,Morgan Winsor,female,"""Protesters took to the streets of Portland after President Biden was sworn-in.""",0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,5,1,0,0,0,0,0,0
